Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 2207.82it/s]
K2MXI1_TRYCR: Predicted ERROR, probability : 0.8525
D8LHG4_ECTSI: Predicted CORRECT, probability : 0.4860
F6WII2_XENTR: Predicted ERROR, probability : 0.9996
G5BXD1_HETGA: Predicted ERROR, probability : 0.9973
U6PGC9_HAECO: Predicted ERROR, probability : 0.9820
M7CDR0_CHEMY: Predicted ERROR, probability : 0.6433
B7PGX0_IXOSC: Predicted ERROR, probability : 0.9812
G1R2E6_NOMLE: Predicted ERROR, probability : 0.7614
E5SRB7_TRISP: Predicted ERROR, probability : 0.9536
A0A158PC67_ANGCA: Predicted ERROR, probability : 0.9984
Q4QHY0_LEIMA: Predicted ERROR, probability : 0.6990
G3W779_SARHA: Predicted CORRECT, probability : 0.4326
A0A078AXW3_STYLE: Predicted ERROR, probability : 0.8535
A0A0L0RX02_ALLMA: Predicted ERROR, probability : 0.9824
U4UR71_DENPD: Predicted ERROR, probability : 0.9513
A0A044T938_ONCVO: Predicted ERROR, probability : 0.8375
L5JZ57_PTEAL: Predicted ERROR, probability : 0.8821
W4XLR8_STRPU: Predicted ERROR, probability : 0.7246
L5M4Q0_MYODS: Predicted ERROR, probability : 0.5046
G4YNA1_PHYSP: Predicted CORRECT, probability : 0.4655
A0A075A5S1_9TREM: Predicted ERROR, probability : 0.9987
W5K6A8_ASTMX: Predicted ERROR, probability : 0.9881
A0A0J8AZA9_BETVU: Predicted ERROR, probability : 1.0000
K1RF96_CRAGI: Predicted ERROR, probability : 0.8493
A0A096N3B0_PAPAN: Predicted ERROR, probability : 0.9959
F6XYF5_MACMU: Predicted ERROR, probability : 0.7690
A0A183AMH9_9TREM: Predicted ERROR, probability : 0.9148
T1KN87_TETUR: Predicted ERROR, probability : 0.9795
A0A151MY90_ALLMI: Predicted ERROR, probability : 0.8082
A0A0N4Y5V9_NIPBR: Predicted ERROR, probability : 0.9965
W5JDQ4_ANODA: Predicted CORRECT, probability : 0.2406
A7S6S2_NEMVE: Predicted ERROR, probability : 0.7343
A0A0L0TEE4_ALLMA: Predicted ERROR, probability : 0.9297
B0WVV4_CULQU: Predicted ERROR, probability : 0.9641
H3DXJ0_PRIPA: Predicted ERROR, probability : 0.7623
L1I8Y1_GUITH: Predicted CORRECT, probability : 0.4605
E9GGK3_DAPPU: Predicted ERROR, probability : 0.8421
Q7PZG7_ANOGA: Predicted CORRECT, probability : 0.3237
A0A091E0E2_FUKDA: Predicted CORRECT, probability : 0.3353
G3N2W1_BOVIN: Predicted ERROR, probability : 0.8700
H3G2I6_PRIPA: Predicted ERROR, probability : 0.9913
I1FWR1_AMPQE: Predicted ERROR, probability : 0.9082
H2Y5K1_CIOSA: Predicted ERROR, probability : 0.9606
U1MLL9_ASCSU: Predicted ERROR, probability : 0.6429
D2V1M3_NAEGR: Predicted CORRECT, probability : 0.4843
A0A132AI83_SARSC: Predicted ERROR, probability : 0.9431
T1G1W0_HELRO: Predicted ERROR, probability : 0.9598
G1NSP1_MYOLU: Predicted ERROR, probability : 0.7471
S9WEY7_CAMFR: Predicted ERROR, probability : 0.8811
T1K902_TETUR: Predicted CORRECT, probability : 0.3049
A0A0B2VVD3_TOXCA: Predicted ERROR, probability : 0.9608
L9JK49_TUPCH: Predicted ERROR, probability : 0.9777
A0A026W9L5_CERBI: Predicted ERROR, probability : 0.6256
H2NQY4_PONAB: Predicted ERROR, probability : 0.9728
A0A074TVE9_HAMHA: Predicted CORRECT, probability : 0.4398
G1TAG0_RABIT: Predicted CORRECT, probability : 0.4511
E2AKE6_CAMFO: Predicted ERROR, probability : 0.6706
G7YF31_CLOSI: Predicted ERROR, probability : 0.9590
B7QJ88_IXOSC: Predicted ERROR, probability : 0.9995
A0A044S4J3_ONCVO: Predicted ERROR, probability : 0.9875
L9L5T7_TUPCH: Predicted CORRECT, probability : 0.4186
A0A0G4ITG8_PLABS: Predicted CORRECT, probability : 0.4326
A0A151MR52_ALLMI: Predicted ERROR, probability : 0.9010
Q7PJH7_ANOGA: Predicted ERROR, probability : 0.7111
J9IEJ3_9SPIT: Predicted ERROR, probability : 0.8468
J0XI15_LOALO: Predicted CORRECT, probability : 0.1732
W5MNX0_LEPOC: Predicted ERROR, probability : 0.8301
G3UNS7_LOXAF: Predicted ERROR, probability : 0.6100
A0A0J7KRX1_LASNI: Predicted ERROR, probability : 0.5191
J9JLI4_ACYPI: Predicted ERROR, probability : 0.8832
G4VB11_SCHMA: Predicted ERROR, probability : 0.9890
A0A0N4V4I0_ENTVE: Predicted ERROR, probability : 0.9992
A0A194PHW7_PAPXU: Predicted ERROR, probability : 0.5019
H0W7Y8_CAVPO: Predicted ERROR, probability : 0.9419
Q241P2_TETTS: Predicted ERROR, probability : 0.9883
H3D6A2_TETNG: Predicted CORRECT, probability : 0.3275
A0A0R3PV67_ANGCS: Predicted ERROR, probability : 0.9923
A0A183J7J9_9BILA: Predicted ERROR, probability : 0.9703
U1M879_ASCSU: Predicted ERROR, probability : 0.5492
T1J508_STRMM: Predicted CORRECT, probability : 0.2790
C1N892_MICPC: Predicted ERROR, probability : 0.9684
W5QCF0_SHEEP: Predicted ERROR, probability : 0.9620
A0A0N4VJJ5_ENTVE: Predicted CORRECT, probability : 0.2888
M4AUX9_XIPMA: Predicted ERROR, probability : 0.9510
Q4CXZ7_TRYCC: Predicted ERROR, probability : 0.9966
A0A0D2MT59_9CHLO: Predicted ERROR, probability : 0.5000
A0A0D9QYN2_CHLSB: Predicted ERROR, probability : 0.9601
I3LAV0_PIG: Predicted CORRECT, probability : 0.1251
S7PD13_MYOBR: Predicted ERROR, probability : 0.5017
C5KS16_PERM5: Predicted ERROR, probability : 1.0000
A0A158Q9B2_ENTVE: Predicted ERROR, probability : 0.6463
A0A0N4ZHJ9_PARTI: Predicted CORRECT, probability : 0.1444
W5NGP4_LEPOC: Predicted ERROR, probability : 0.7654
A0A151NEI7_ALLMI: Predicted ERROR, probability : 0.8200
I1G3D9_AMPQE: Predicted ERROR, probability : 0.9996
G3PXZ6_GASAC: Predicted ERROR, probability : 0.7228
H3B2R5_LATCH: Predicted ERROR, probability : 0.5700
A0A0V0R4D7_PSEPJ: Predicted ERROR, probability : 0.9858
A0A0T6AX75_9SCAR: Predicted ERROR, probability : 0.9999
F1MB52_BOVIN: Predicted CORRECT, probability : 0.2594
A0A087YNL7_POEFO: Predicted CORRECT, probability : 0.3765
H9IUL9_BOMMO: Predicted ERROR, probability : 0.9678
A0A183ISR1_9BILA: Predicted ERROR, probability : 0.8536
F0YI19_AURAN: Predicted ERROR, probability : 0.6762
W4YQA9_STRPU: Predicted ERROR, probability : 0.9991
A0A183AUE2_9TREM: Predicted ERROR, probability : 0.9999
C3YEG9_BRAFL: Predicted ERROR, probability : 0.9998
K7IUM7_NASVI: Predicted CORRECT, probability : 0.4660
A0A0J7KP96_LASNI: Predicted ERROR, probability : 0.8806
L5KTW4_PTEAL: Predicted ERROR, probability : 0.8636
A0A0N8JZ60_9TELE: Predicted ERROR, probability : 0.9999
G1PY40_MYOLU: Predicted CORRECT, probability : 0.1474
H3FPW8_PRIPA: Predicted ERROR, probability : 0.9281
M3WH89_FELCA: Predicted CORRECT, probability : 0.0817
A0A158Q3M8_DRAME: Predicted ERROR, probability : 0.9959
L5KX83_PTEAL: Predicted ERROR, probability : 0.9632
A0A194QF95_PAPXU: Predicted ERROR, probability : 0.9315
A0CZW4_PARTE: Predicted CORRECT, probability : 0.3870
H9GBY2_ANOCA: Predicted ERROR, probability : 0.5589
A0A158PCU7_ANGCA: Predicted ERROR, probability : 0.8880
A0A158R4W9_9BILA: Predicted ERROR, probability : 0.9998
A8HY05_CHLRE: Predicted CORRECT, probability : 0.4691
F0XZU8_AURAN: Predicted ERROR, probability : 0.9789
A0A0N1ITN5_9HYME: Predicted ERROR, probability : 0.7761
M3XJ38_LATCH: Predicted ERROR, probability : 0.9457
T1KWA3_TETUR: Predicted ERROR, probability : 0.7008
A8XCI7_CAEBR: Predicted ERROR, probability : 0.9946
F6RJ94_ORNAN: Predicted ERROR, probability : 0.9187
H9JVX6_BOMMO: Predicted ERROR, probability : 0.6250
C3Y3A6_BRAFL: Predicted ERROR, probability : 0.8363
F0YAJ5_AURAN: Predicted ERROR, probability : 0.9632
F4WXK5_ACREC: Predicted ERROR, probability : 0.8833
A0A078AHS4_STYLE: Predicted ERROR, probability : 0.9652
A0A0L0S2E7_ALLMA: Predicted ERROR, probability : 0.9959
A0A0L7RCH2_9HYME: Predicted CORRECT, probability : 0.4877
G1NWH7_MYOLU: Predicted ERROR, probability : 0.9781
A0A024G8J4_9STRA: Predicted ERROR, probability : 0.7104
S9X970_CAMFR: Predicted ERROR, probability : 0.9862
A0A0M0J5B0_9EUKA: Predicted ERROR, probability : 0.7608
H3G787_PHYRM: Predicted ERROR, probability : 0.8125
U4UFE7_DENPD: Predicted ERROR, probability : 0.9132
A0A177W7K9_BATDE: Predicted CORRECT, probability : 0.3115
A0A0L7LUY1_9NEOP: Predicted ERROR, probability : 0.9590
G4VFM7_SCHMA: Predicted ERROR, probability : 0.9994
W2TLI7_NECAM: Predicted ERROR, probability : 0.6156
V4BDA4_LOTGI: Predicted ERROR, probability : 0.5797
A0A0R3RI75_9BILA: Predicted CORRECT, probability : 0.4883
A0A0K0CWM9_ANGCA: Predicted ERROR, probability : 0.9974
G3VLR7_SARHA: Predicted ERROR, probability : 0.9741
A0A158PWS5_BRUMA: Predicted ERROR, probability : 0.8399
A2FLN7_TRIVA: Predicted ERROR, probability : 0.6631
A0A067BK52_SAPPC: Predicted ERROR, probability : 0.9753
W4Z8E6_STRPU: Predicted CORRECT, probability : 0.3416
A0A0N1PCK5_LEPSE: Predicted ERROR, probability : 0.6273
A0A0R3WDM8_TAEAS: Predicted ERROR, probability : 0.9671
E9H9T3_DAPPU: Predicted ERROR, probability : 0.7240
H3CPV7_TETNG: Predicted ERROR, probability : 0.6899
D8TSL5_VOLCA: Predicted ERROR, probability : 0.5294
S9UX65_9TRYP: Predicted ERROR, probability : 0.8407
A9UYR2_MONBE: Predicted ERROR, probability : 0.9981
I3MKM9_ICTTR: Predicted ERROR, probability : 0.8211
H2RCJ0_PANTR: Predicted CORRECT, probability : 0.1789
A8JDM5_CHLRE: Predicted ERROR, probability : 0.5289
G1KEQ2_ANOCA: Predicted ERROR, probability : 0.6903
A0A158PCJ5_ANGCA: Predicted ERROR, probability : 1.0000
A0A0T6B109_9SCAR: Predicted ERROR, probability : 0.9987
A0A0M0J419_9EUKA: Predicted ERROR, probability : 0.7096
A0A0L0DQP3_THETB: Predicted ERROR, probability : 0.7047
A0A044UUG6_ONCVO: Predicted CORRECT, probability : 0.2291
E0VEZ1_PEDHC: Predicted ERROR, probability : 0.8665
V6LK23_9EUKA: Predicted ERROR, probability : 0.9744
T1JN84_STRMM: Predicted CORRECT, probability : 0.1690
V8P9D6_OPHHA: Predicted CORRECT, probability : 0.2593
W5K849_ASTMX: Predicted CORRECT, probability : 0.2000
A0A024G2J7_9STRA: Predicted ERROR, probability : 0.7928
A0A0G4GGA2_VITBC: Predicted ERROR, probability : 0.9437
A0A087W2H3_ECHMU: Predicted ERROR, probability : 0.9576
A0A061IYN2_TRYRA: Predicted ERROR, probability : 0.6527
E9G8C5_DAPPU: Predicted CORRECT, probability : 0.3064
A0A0N5ABN7_9BILA: Predicted CORRECT, probability : 0.3199
A0A139WBN3_TRICA: Predicted ERROR, probability : 0.9747
C3YE92_BRAFL: Predicted CORRECT, probability : 0.1422
B8C2P1_THAPS: Predicted ERROR, probability : 0.7981
A0A0V0QLN4_PSEPJ: Predicted ERROR, probability : 0.9998
A0A0J7P2G7_LASNI: Predicted ERROR, probability : 0.9450
A0A194R2W3_PAPMA: Predicted ERROR, probability : 0.6872
H3H3M3_PHYRM: Predicted ERROR, probability : 0.7379
A0A091D036_FUKDA: Predicted ERROR, probability : 0.8745
D8UDZ1_VOLCA: Predicted ERROR, probability : 0.5830
H2L842_ORYLA: Predicted ERROR, probability : 0.7782
F0YI57_AURAN: Predicted ERROR, probability : 0.9998
A8ISS3_CHLRE: Predicted ERROR, probability : 0.7476
Q16YF7_AEDAE: Predicted ERROR, probability : 0.9323
A0A0W8C0V4_PHYNI: Predicted ERROR, probability : 0.8327
A0A158NBR4_ATTCE: Predicted ERROR, probability : 0.9830
A0A0R3X5R5_HYDTA: Predicted ERROR, probability : 0.7166
V3ZMW5_LOTGI: Predicted CORRECT, probability : 0.3311
A0A0L7LAS6_9NEOP: Predicted ERROR, probability : 0.6497
C3ZGA8_BRAFL: Predicted ERROR, probability : 0.5983
S9XZ18_CAMFR: Predicted ERROR, probability : 0.8941
G7P921_MACFA: Predicted CORRECT, probability : 0.2784
A0A077ZIK8_TRITR: Predicted ERROR, probability : 0.6217
L5KHM0_PTEAL: Predicted ERROR, probability : 0.9967
G0QUA5_ICHMG: Predicted ERROR, probability : 0.9628
A0A132AMT7_SARSC: Predicted ERROR, probability : 0.7348
A0A0N5DRL2_TRIMR: Predicted CORRECT, probability : 0.4477
A0A0V0QWI5_PSEPJ: Predicted ERROR, probability : 0.6323
E2RRL8_CANLF: Predicted CORRECT, probability : 0.3771
A0A0N4Y0Q6_NIPBR: Predicted ERROR, probability : 0.9926
W5QFP5_SHEEP: Predicted ERROR, probability : 0.6245
F0VGR2_NEOCL: Predicted ERROR, probability : 0.9498
A0A132ADH9_SARSC: Predicted CORRECT, probability : 0.2082
D2VRF8_NAEGR: Predicted CORRECT, probability : 0.1040
L1JQ89_GUITH: Predicted CORRECT, probability : 0.3362
A0A158Q6M4_DRAME: Predicted ERROR, probability : 0.5898
X6MMR6_RETFI: Predicted ERROR, probability : 0.9964
Q4GYG4_TRYB2: Predicted ERROR, probability : 0.6312
E1GJZ7_LOALO: Predicted ERROR, probability : 0.5233
W2YN75_PHYPR: Predicted ERROR, probability : 0.9349
H9IX60_BOMMO: Predicted ERROR, probability : 0.9971
A0A158QYB8_NIPBR: Predicted ERROR, probability : 0.8169
A0A067REY3_ZOONE: Predicted CORRECT, probability : 0.2821
A0A0L0HGZ5_SPIPN: Predicted CORRECT, probability : 0.3139
A0A0P7TMM5_9TELE: Predicted ERROR, probability : 0.8990
A0A0R3RHE0_9BILA: Predicted ERROR, probability : 0.9973
F1M285_RAT: Predicted CORRECT, probability : 0.4221
A0A0G4F9D8_VITBC: Predicted CORRECT, probability : 0.4696
A0A0K0ES23_STRER: Predicted CORRECT, probability : 0.4282
A0A0L0T9T0_ALLMA: Predicted ERROR, probability : 0.7765
H2MPC6_ORYLA: Predicted ERROR, probability : 0.9536
E4WX53_OIKDI: Predicted CORRECT, probability : 0.2878
C5KIW8_PERM5: Predicted ERROR, probability : 0.9998
F6V8F4_CIOIN: Predicted ERROR, probability : 0.8861
U3JG05_FICAL: Predicted ERROR, probability : 0.9738
A0A183CJN1_GLOPA: Predicted ERROR, probability : 0.8562
H2QQ41_PANTR: Predicted CORRECT, probability : 0.4203
W2T3D0_NECAM: Predicted ERROR, probability : 0.8959
C1N7C5_MICPC: Predicted ERROR, probability : 0.5932
E5RYK1_TRISP: Predicted ERROR, probability : 0.9350
A0A158N997_ATTCE: Predicted ERROR, probability : 0.8688
E5S242_TRISP: Predicted ERROR, probability : 0.9359
A0A151M038_ALLMI: Predicted ERROR, probability : 0.7395
H2YQF5_CIOSA: Predicted ERROR, probability : 0.9387
H9GG47_ANOCA: Predicted ERROR, probability : 0.6858
L1JFP4_GUITH: Predicted ERROR, probability : 0.8993
L5M9H5_MYODS: Predicted ERROR, probability : 0.9311
L5MBC6_MYODS: Predicted ERROR, probability : 0.9263
F1P3N5_CHICK: Predicted ERROR, probability : 0.7922
A0A0R3RK48_9BILA: Predicted CORRECT, probability : 0.2144
A4HI10_LEIBR: Predicted ERROR, probability : 0.7408
A0A158PLL8_ANGCS: Predicted ERROR, probability : 0.9709
B7PXZ3_IXOSC: Predicted CORRECT, probability : 0.1825
A0A0N4TW66_BRUPA: Predicted ERROR, probability : 0.9773
W5P769_SHEEP: Predicted ERROR, probability : 0.9096
H0WSU7_OTOGA: Predicted CORRECT, probability : 0.2717
M7BHW9_CHEMY: Predicted ERROR, probability : 0.9290
A0A158Q2T1_DRAME: Predicted ERROR, probability : 0.9964
A0A0J9XVG0_BRUMA: Predicted ERROR, probability : 0.9079
C3ZYE3_BRAFL: Predicted ERROR, probability : 0.9560
A0A183CE91_GLOPA: Predicted ERROR, probability : 0.9714
V8PB15_OPHHA: Predicted CORRECT, probability : 0.3360
A0A024G1K1_9STRA: Predicted ERROR, probability : 0.6802
E3MFS3_CAERE: Predicted ERROR, probability : 0.5617
A7S3C1_NEMVE: Predicted ERROR, probability : 0.5469
G3WF86_SARHA: Predicted ERROR, probability : 0.9907
I3IYB2_ORENI: Predicted ERROR, probability : 0.6364
B7QG96_IXOSC: Predicted ERROR, probability : 0.9684
A4HVW2_LEIIN: Predicted ERROR, probability : 0.6237
U6H456_9EIME: Predicted ERROR, probability : 1.0000
F6QMY3_MONDO: Predicted CORRECT, probability : 0.3599
A0A0N4YBJ2_NIPBR: Predicted ERROR, probability : 0.8913
H2ZEB0_CIOSA: Predicted ERROR, probability : 0.8535
X6NEQ1_RETFI: Predicted ERROR, probability : 0.8376
D0N6L3_PHYIT: Predicted ERROR, probability : 0.5582
A0A087X8G3_POEFO: Predicted ERROR, probability : 0.7202
I1FN75_AMPQE: Predicted ERROR, probability : 0.8918
A0A0L7LBP7_9NEOP: Predicted ERROR, probability : 0.9577
W5KAN4_ASTMX: Predicted ERROR, probability : 0.5158
G0MK79_CAEBE: Predicted ERROR, probability : 0.9818
L1J7Q0_GUITH: Predicted CORRECT, probability : 0.1815
B3RR15_TRIAD: Predicted CORRECT, probability : 0.1516
A0A0N5D5E3_THECL: Predicted CORRECT, probability : 0.4294
M3XIP9_LATCH: Predicted ERROR, probability : 0.9927
H3DYA5_PRIPA: Predicted ERROR, probability : 0.9982
A0A154PRD2_9HYME: Predicted CORRECT, probability : 0.4323
G0R0W6_ICHMG: Predicted ERROR, probability : 0.9974
W5JSM4_ANODA: Predicted ERROR, probability : 0.8968
M3W6A3_FELCA: Predicted ERROR, probability : 0.5510
F2UKV5_SALR5: Predicted CORRECT, probability : 0.4474
A0A0D2MXQ8_9CHLO: Predicted ERROR, probability : 0.8619
D8LC08_ECTSI: Predicted ERROR, probability : 0.6405
G3SZ68_LOXAF: Predicted CORRECT, probability : 0.4431
U3JSU8_FICAL: Predicted ERROR, probability : 0.7505
K3XBX6_PYTUL: Predicted ERROR, probability : 0.9121
S7NK02_MYOBR: Predicted ERROR, probability : 0.7433
F7H903_MACMU: Predicted CORRECT, probability : 0.2583
A0A0L0TBM7_ALLMA: Predicted ERROR, probability : 0.7302
G6D473_DANPL: Predicted ERROR, probability : 0.5380
A0A077ZB09_TRITR: Predicted ERROR, probability : 0.8334
F4WTS3_ACREC: Predicted ERROR, probability : 0.9581
A0A154PBB3_9HYME: Predicted ERROR, probability : 0.6938
A0A0L0CAS7_LUCCU: Predicted ERROR, probability : 0.5051
W4Y6U2_STRPU: Predicted ERROR, probability : 0.9347
H3G5F9_PHYRM: Predicted CORRECT, probability : 0.2282
A0A0P7TNM9_9TELE: Predicted ERROR, probability : 0.9952
W2TZ29_NECAM: Predicted ERROR, probability : 0.9572
L5KVD7_PTEAL: Predicted CORRECT, probability : 0.4436
A7SA52_NEMVE: Predicted ERROR, probability : 0.7249
A0A0K0DSQ7_STRER: Predicted CORRECT, probability : 0.4932
L9KTN3_TUPCH: Predicted ERROR, probability : 0.9545
A0A094ZHY9_SCHHA: Predicted ERROR, probability : 0.6547
K3X8B7_PYTUL: Predicted ERROR, probability : 0.9825
A0A0B2VAS7_TOXCA: Predicted CORRECT, probability : 0.4079
G1RV53_NOMLE: Predicted CORRECT, probability : 0.2235
D8LN08_ECTSI: Predicted ERROR, probability : 0.6694
F9WEE0_TRYCI: Predicted ERROR, probability : 0.6259
A0A094ZHY0_SCHHA: Predicted ERROR, probability : 0.9998
A0A0N4XMR1_NIPBR: Predicted ERROR, probability : 1.0000
F4W6I5_ACREC: Predicted CORRECT, probability : 0.3033
A0A132A4K1_SARSC: Predicted CORRECT, probability : 0.2140
A0A074TG63_HAMHA: Predicted CORRECT, probability : 0.4972
A0A194QVK1_PAPMA: Predicted CORRECT, probability : 0.3140
A0A0M0JGN9_9EUKA: Predicted CORRECT, probability : 0.4576
A0A132AFF8_SARSC: Predicted ERROR, probability : 0.9981
X6MKA7_RETFI: Predicted ERROR, probability : 0.7500
C5KCZ4_PERM5: Predicted ERROR, probability : 0.9008
A0A0P7UNM4_9TELE: Predicted ERROR, probability : 0.7915
A0A0R3PJF7_ANGCS: Predicted ERROR, probability : 0.9998
R4G3C9_RHOPR: Predicted ERROR, probability : 0.9784
U4UK84_DENPD: Predicted CORRECT, probability : 0.1666
W2TIN0_NECAM: Predicted ERROR, probability : 0.9766
A0A151MNW9_ALLMI: Predicted ERROR, probability : 0.9670
F1PMK6_CANLF: Predicted ERROR, probability : 0.9124
H0XTE1_OTOGA: Predicted ERROR, probability : 0.8076
A0A074YYQ2_9TREM: Predicted ERROR, probability : 0.9617
U6NN38_HAECO: Predicted ERROR, probability : 0.8567
A0A0J7KYY5_LASNI: Predicted ERROR, probability : 0.9901
D7FPE8_ECTSI: Predicted ERROR, probability : 0.8656
T1HIA6_RHOPR: Predicted ERROR, probability : 0.9626
A0A0B2W3Z8_TOXCA: Predicted CORRECT, probability : 0.3792
I3MZR6_ICTTR: Predicted ERROR, probability : 0.9940
G7YPH4_CLOSI: Predicted ERROR, probability : 0.7993
A0A0B2UR27_TOXCA: Predicted CORRECT, probability : 0.4489
G4VMY2_SCHMA: Predicted ERROR, probability : 0.9005
S9U7B2_9TRYP: Predicted ERROR, probability : 0.6199
I3JHX4_ORENI: Predicted CORRECT, probability : 0.2303
V6TXM2_GIAIN: Predicted ERROR, probability : 0.7732
U6PX01_HAECO: Predicted CORRECT, probability : 0.3895
C3Z2B9_BRAFL: Predicted ERROR, probability : 0.8111
H2R2S2_PANTR: Predicted ERROR, probability : 0.6713
A0A0N5A3K0_PARTI: Predicted CORRECT, probability : 0.4748
K7FS03_PELSI: Predicted ERROR, probability : 0.9641
H2LGU6_ORYLA: Predicted ERROR, probability : 0.9729
T1KSQ0_TETUR: Predicted CORRECT, probability : 0.2903
S9VG80_9TRYP: Predicted ERROR, probability : 0.8248
F6PP46_MONDO: Predicted ERROR, probability : 0.7462
W4YNQ9_STRPU: Predicted CORRECT, probability : 0.2679
Q3SE80_PARTE: Predicted ERROR, probability : 0.6487
D2A2G0_TRICA: Predicted CORRECT, probability : 0.3283
E0VFJ8_PEDHC: Predicted ERROR, probability : 0.9648
A9US50_MONBE: Predicted ERROR, probability : 0.7047
L9JPR5_TUPCH: Predicted ERROR, probability : 0.9999
A8XUK4_CAEBR: Predicted ERROR, probability : 0.9942
G1NXM3_MYOLU: Predicted ERROR, probability : 0.8736
A0A0R3S517_9BILA: Predicted ERROR, probability : 0.7754
W5M3R4_LEPOC: Predicted ERROR, probability : 0.9999
A0A139A4E2_GONPR: Predicted ERROR, probability : 0.8644
E4XFG8_OIKDI: Predicted ERROR, probability : 0.8800
W6LGD6_9TRYP: Predicted ERROR, probability : 0.5311
F2UP53_SALR5: Predicted ERROR, probability : 0.6609
A7RZZ8_NEMVE: Predicted ERROR, probability : 0.5021
T1JL36_STRMM: Predicted ERROR, probability : 0.9317
B4KFI6_DROMO: Predicted ERROR, probability : 0.7432
A0A0G4INI7_PLABS: Predicted ERROR, probability : 0.6353
T1IEA4_RHOPR: Predicted ERROR, probability : 0.9919
A0A0L0DRW6_THETB: Predicted ERROR, probability : 0.7319
A0A0N5E0Z5_TRIMR: Predicted CORRECT, probability : 0.3140
D8LMB8_ECTSI: Predicted ERROR, probability : 0.6442
A0A183BPI1_GLOPA: Predicted ERROR, probability : 0.7135
A0A0G4IN17_PLABS: Predicted CORRECT, probability : 0.4311
H0XFB0_OTOGA: Predicted CORRECT, probability : 0.3198
B0WHK9_CULQU: Predicted ERROR, probability : 0.9999
G0MLH4_CAEBE: Predicted ERROR, probability : 0.8706
T1HMQ0_RHOPR: Predicted ERROR, probability : 0.9184
K3WUB9_PYTUL: Predicted CORRECT, probability : 0.4343
A0A091CQR8_FUKDA: Predicted CORRECT, probability : 0.2559
A0A194Q979_PAPXU: Predicted ERROR, probability : 0.9713
R1DH87_EMIHU: Predicted ERROR, probability : 0.9997
W5LJ82_ASTMX: Predicted ERROR, probability : 0.9934
A0A095C0Z5_SCHHA: Predicted CORRECT, probability : 0.3242
H0XC64_OTOGA: Predicted CORRECT, probability : 0.1628
A7SJU1_NEMVE: Predicted CORRECT, probability : 0.4252
A0A0G4ELX0_VITBC: Predicted CORRECT, probability : 0.4682
D8LTW8_ECTSI: Predicted ERROR, probability : 0.9806
H3GA73_PHYRM: Predicted ERROR, probability : 0.5433
H3ACW2_LATCH: Predicted ERROR, probability : 0.6550
A0A194QQS4_PAPMA: Predicted CORRECT, probability : 0.2754
F7EQ74_ORNAN: Predicted ERROR, probability : 0.8910
A0A0L7R9T5_9HYME: Predicted ERROR, probability : 0.8887
K1QDK8_CRAGI: Predicted ERROR, probability : 0.9918
H3AX78_LATCH: Predicted ERROR, probability : 0.9996
A0A0D9RN20_CHLSB: Predicted CORRECT, probability : 0.2938
R1EVH0_EMIHU: Predicted ERROR, probability : 0.6111
A0A194QW45_PAPMA: Predicted ERROR, probability : 0.9568
A0A024GAQ7_9STRA: Predicted CORRECT, probability : 0.4355
U6PNT6_HAECO: Predicted CORRECT, probability : 0.4876
F7E4F6_MONDO: Predicted ERROR, probability : 0.7054
F6QTI8_XENTR: Predicted CORRECT, probability : 0.3700
E5SUG9_TRISP: Predicted ERROR, probability : 0.9119
F6ZZ65_CIOIN: Predicted ERROR, probability : 0.9566
G0QUX9_ICHMG: Predicted ERROR, probability : 0.9999
A0A0T6BH06_9SCAR: Predicted ERROR, probability : 0.9141
A0A0N4UB91_DRAME: Predicted ERROR, probability : 0.7776
A0A0N5CEF1_STREA: Predicted CORRECT, probability : 0.1558
F7DMU6_MONDO: Predicted ERROR, probability : 0.9672
E1BUV9_CHICK: Predicted CORRECT, probability : 0.0822
H2P625_PONAB: Predicted ERROR, probability : 0.6534
F2US57_SALR5: Predicted CORRECT, probability : 0.4542
A0A151WQC0_9HYME: Predicted ERROR, probability : 0.9994
A0A0R4IXP1_DANRE: Predicted ERROR, probability : 0.9897
V8NR12_OPHHA: Predicted ERROR, probability : 0.9966
E1G276_LOALO: Predicted CORRECT, probability : 0.2203
W5P852_SHEEP: Predicted CORRECT, probability : 0.1201
E3LMW1_CAERE: Predicted ERROR, probability : 0.7260
I3L6U7_PIG: Predicted ERROR, probability : 0.6935
A0A0Q9XI51_DROMO: Predicted ERROR, probability : 0.9908
B4NT84_DROSI: Predicted ERROR, probability : 0.9848
H3F5B6_PRIPA: Predicted ERROR, probability : 0.9994
H3FMD9_PRIPA: Predicted ERROR, probability : 0.8876
U4U829_DENPD: Predicted CORRECT, probability : 0.1655
A0A0L9UFN1_PHAAN: Predicted ERROR, probability : 0.9423
G5C8M2_HETGA: Predicted ERROR, probability : 0.5959
Q7Q2M8_ANOGA: Predicted ERROR, probability : 0.9884
A0A0T6B888_9SCAR: Predicted ERROR, probability : 0.6560
E1GAU0_LOALO: Predicted CORRECT, probability : 0.4507
H3E7Q4_PRIPA: Predicted ERROR, probability : 0.9261
A0A067BQG6_SAPPC: Predicted ERROR, probability : 0.8320
B4I7P4_DROSE: Predicted CORRECT, probability : 0.4355
W5NE82_LEPOC: Predicted ERROR, probability : 0.9091
